119.75,7.672625,q
115.57,6.905,q
114.93,7.5723333,q
99.1825,6.225,q
94.01875,6.41,q
119.75,7.5723333,b
150.1,7.672625,b
150.1,7.5723333,b
145.0,6.905,b
114.93,7.672625,b
123.65143,6.905,b
145.02266,7.5723333,b
145.02266,7.672625,b
105.33923,6.225,b
105.33923,6.41,b
99.1825,6.41,b
94.01875,6.225,b
/
130.4,7.8,q
116.3,6.94,q
99.1825,6.225,q
94.01875,6.41,q
130.4,7.8,b
116.3,6.94,b
161.6,7.8,b
123.4,6.94,b
146.6,7.8,b
105.33923,6.225,b
105.33923,6.41,b
99.1825,6.41,b
94.01875,6.225,b
/
119.75,7.672625,q
115.57,6.905,q
114.93,7.5723333,q
99.1825,6.225,q
94.01875,6.41,q
119.75,7.5723333,b
150.1,7.672625,b
150.1,7.5723333,b
145.0,6.905,b
114.93,7.672625,b
123.65143,6.905,b
145.02266,7.5723333,b
145.02266,7.672625,b
105.33923,6.225,b
105.33923,6.41,b
99.1825,6.41,b
94.01875,6.225,b
/
130.4,7.8,q
116.3,6.94,q
99.1825,6.225,q
94.01875,6.41,q
130.4,7.8,b
116.3,6.94,b
161.6,7.8,b
123.4,6.94,b
146.6,7.8,b
105.33923,6.225,b
105.33923,6.41,b
99.1825,6.41,b
94.01875,6.225,b
/
